Feature,Mean,Median,Mode,Std Dev
Appliances,97.695,60.0,50.0,102.5249
lights,3.8019,0.0,0.0,7.936
T1,21.6866,21.6,21.0,1.6061
RH_1,40.2597,39.6567,39.09,3.9793
T2,20.3412,20.0,19.2,2.193
RH_2,40.4204,40.5,40.0,4.0698
T3,22.2676,22.1,22.39,2.0061
RH_3,39.2425,38.53,37.59,3.2546
T4,20.8553,20.6667,20.39,2.0429
RH_4,39.0269,38.4,38.59,4.3413
T5,19.5921,19.39,18.6,1.8446
RH_5,50.9493,49.09,49.0,9.022
T6,7.9109,7.3,6.4,6.0903
RH_6,54.6091,55.29,1.0,31.1498
T7,20.2671,20.0333,18.5,2.11
RH_7,35.3882,34.8633,33.9,5.1142
T8,22.0291,22.1,22.79,1.9562
RH_8,42.9362,42.375,39.5,5.2244
T9,19.4858,19.39,20.5,2.0147
RH_9,41.5524,40.9,39.2,4.1515
T_out,7.4117,6.9167,9.8,5.3174
Press_mm_hg,755.5226,756.1,757.3,7.3994
RH_out,79.7504,83.6667,95.0,14.9011
Windspeed,4.0398,3.6667,1.0,2.4512
Visibility,38.3308,40.0,40.0,11.7947
Tdewpoint,3.7607,3.4333,0.0,4.1946
rv1,24.988,24.8977,0.0053,14.4966
rv2,24.988,24.8977,0.0053,14.4966
